IDpol,Actual,Pred_LGBM
139.0,303.0,870.6285729169581
190.0,1981.84,6708.913920983739
414.0,1456.55,2169.971089984955
424.0,989.64,2432.3395809549456
424.0,9844.36,2432.3395809549456
463.0,3986.67,675.7378499924271
606.0,1840.14,1577.5948350671124
622.0,1397.97,1016.2519270109251
811.0,971.98,1624.6524962251249
830.0,1442.75,2567.7433265233003
975.0,637.41,1619.6763080179267
1226.0,3048.98,2990.0026248783206
1301.0,4573.47,-567.0490983796178
1323.0,384.77,1739.8161039859729
1349.0,185.98,1818.5277949281162
1534.0,671.05,859.3321833999654
1552.0,995.2,2650.035247969982
1552.0,1845.74,2650.035247969982
1669.0,724.03,1363.840748473529
1671.0,3401.9,1516.6074937180492
1741.0,2975.68,2145.1824803327972
1870.0,1692.29,401.90676054479337
1963.0,422.05,4595.79423527129
1967.0,76.22,659.6363126709276
2058.0,704.18,1459.8695687192442
2085.0,1469.88,2548.5717097648726
2085.0,382.4,2548.5717097648726
2199.0,564.35,3175.288118170884
2222.0,3365.37,3201.356848128285
2284.0,1761.37,1758.3669829614578
2311.0,553.09,1330.7099418231746
2375.0,631.36,1973.864703847941
2540.0,6467.65,3713.1143480798128
2606.0,1322.75,6462.4457304201405
2689.0,885.28,1151.360417795811
2776.0,679.09,2982.6616766321786
2776.0,8561.02,2982.6616766321786
2869.0,1878.72,1467.2108915915715
3131.0,1219.51,2581.7960074011407
3227.0,984.07,1831.009985725499
3280.0,3647.26,2218.182329103761
3351.0,1183.63,1423.7496841297518
3362.0,4166.79,121.6567685296642
3407.0,1096.52,-528.0511970648157
3468.0,235.64,2244.027900718898
3468.0,556.14,2244.027900718898
3801.0,5451.29,1627.1288695693088
3895.0,6239.07,1969.5113954030653
3897.0,12555.36,718.2470181485111
3940.0,1551.38,1296.1287641225583
4094.0,1309.81,-3487.416330662017
4178.0,326.57,2742.9410605041344
4214.0,409.13,842.1669457771112
4232.0,532.4,1340.0404432524704
4232.0,941.39,1340.0404432524704
4263.0,549.21,1366.6143152649915
4376.0,433.89,1066.5704593265941
4663.0,1746.38,2889.35492966055
4718.0,575.19,1575.324763466498
5038.0,1440.4,1925.8340807637926
5062.0,1405.75,1761.5756076185203
5170.0,787.66,1917.0624440655802
5181.0,191.15,1863.8246272143738
5244.0,5340.29,374.62418502292593
5246.0,378.33,1982.1879011038122
5319.0,553.64,2316.9281136061104
5319.0,31632.81,2316.9281136061104
5477.0,830.36,1779.6223900661373
5741.0,3950.26,1987.6723004453097
5973.0,1662.96,2423.8888198544037
6031.0,680.7,1638.194563784549
6109.0,600.21,1993.6105525218907
6242.0,594.76,1530.328463592972
6294.0,83.14,9930.939384971985
6331.0,553.22,1696.483341366887
6375.0,2031.77,1035.0110716713164
6477.0,893.56,1020.684236846144
6575.0,90.24,1385.9468414677362
6785.0,581.21,1930.6943064984184
6886.0,83.87,2122.7182929649684
6937.0,81.14,5261.688449631584
6937.0,1093.86,5261.688449631584
7123.0,579.14,2238.45329878542
7222.0,407.09,1764.5979084273167
7232.0,891.75,603.6830381297697
7330.0,647.34,3272.302133260748
7465.0,2101.04,3057.207747329618
7489.0,74.23,1356.5717197317774
7652.0,2767.64,2849.388200820853
7655.0,734.81,1848.1167883092749
7741.0,626.68,635.8134393299827
7757.0,742.73,120.95503622630414
7779.0,79.86,1965.3134087796197
7924.0,746.84,2162.1849277308015
8077.0,72.93,2450.914914542161
8092.0,712.13,127.54449149281011
8652.0,564.45,1960.6298964930677
8912.0,1449.64,3815.235209964473
9501.0,1037.95,-1193.7719086227269
9589.0,1181.77,-506.28393451836746
9954.0,1284.45,3525.4431846869443
9993.0,1826.34,-18762.614897691714
10175.0,343.21,741.6233621034754
10741.0,6241.73,10679.587633973504
16650.0,1128.12,1445.5869164843632
16661.0,1626.6,1183.3879982214817
16712.0,109.38,1749.126343879297
16842.0,1128.12,1224.281664382193
16939.0,3560.09,2242.9584075353487
16948.0,1128.12,1100.1683382725992
16948.0,78.4,1100.1683382725992
16961.0,1006.88,1963.2576152440363
16962.0,1128.12,-1654.7110923132027
16985.0,1128.12,1739.9178966432457
17000.0,1021.82,1825.8096010723616
17006.0,1128.12,1539.0644764039544
17023.0,84.3,1737.6548723640708
17087.0,1128.12,-2001.4582542886064
17125.0,1128.12,1485.7977113759612
17171.0,109.56,3373.959878070876
17265.0,1544.32,1144.4664416580988
17279.0,820.58,4073.9214323235256
17288.0,1128.12,1784.5595597528013
17450.0,1128.12,2060.1525270269813
17520.0,316.62,8602.482171142416
17599.0,1700.93,1955.933810203457
17635.0,1128.12,1034.4307013005343
17678.0,1128.12,1365.0295191410755
17681.0,520.32,7230.022426199095
17711.0,69348.0,6163.071796659456
17717.0,1128.12,1630.679636470675
17850.0,92.99,1788.799100649337
17948.0,649.46,1344.1034515585923
18037.0,1128.12,2097.7183305366284
18070.0,258.15,1091.2604205053715
18085.0,1128.12,1241.104954128625
18134.0,5468.42,-615.7725573802782
18165.0,3714.99,2333.456411051959
18179.0,25074.81,4275.163095338767
18301.0,2514.57,1393.8319032920938
18417.0,57.77,-1758.5526533224213
18464.0,10.16,500.9687651928516
18492.0,1128.12,1397.8779306224174
18549.0,1128.12,1538.8445908168899
18698.0,1128.12,110.40162398703023
18698.0,1128.12,110.40162398703023
18718.0,1253.0,1547.218382437928
18735.0,1128.12,3656.963369598097
18748.0,1128.12,3261.583152483874
18761.0,367.49,1110.9007332578014
18815.0,13.38,151.76423403055864
18840.0,1128.12,1250.3037516671266
18844.0,7165.1,3744.753073400881
18854.0,735.57,-687.584984114115
18869.0,234.15,1864.6067567010048
18916.0,66458.9,21562.344825448727
18926.0,770.54,2517.4839465113155
19064.0,956.84,1832.1055629612024
19170.0,1128.12,40.26643158130571
19190.0,2703.84,662.4960615213487
19195.0,4925.36,2408.1044487094214
19195.0,5925.6,2408.1044487094214
19220.0,772.17,1085.9682950210738
19280.0,1232.63,2079.2829806306127
19326.0,2332.41,1695.5289556120565
19343.0,1128.12,797.2224237784136
19374.0,63.86,1080.0689072118512
19424.0,1128.12,1699.4961990102227
19525.0,1128.12,2325.622098988568
19548.0,1128.12,1008.3592167454194
